object_name	epoch_mjd	field_id	ra_deg	dec_deg	mag	filter_id
S0000PLWa	50100.085425221994	116	94.1710804581141	-0.723710149066363	24.0716	r
S0000Gdga	50100.085425221994	116	94.1019250680176	-0.615858044015766	22.8333	r
S0000sVoa	50100.085875222	117	93.8219513903667	1.62858789791471	23.7409	r
S0000eR6a	50100.085875222	117	95.1620682307554	1.10588034669127	22.7668	r
S0000Jy6a	50100.086324222	118	97.1284785559611	-0.739781191291684	22.3795	r
S00003lra	50100.086324222	118	97.7414615495617	0.380635626583569	22.2194	r
S00005J0a	50100.086324222	118	98.5871964523379	-1.21784198511008	22.8306	r
S00008Vwa	50100.086774222	119	99.0187378014118	0.687958185181344	21.9929	r
S00003Aga	50100.086774222	119	99.5767034250526	2.89058416495448	22.7	r
S00006Eea	50100.086774222	119	98.4202470820756	1.22040583530102	23.6977	r
S0000mURa	50100.087224222	120	99.6716927428229	-0.660370272246354	23.2697	r
S00006A9a	50100.087224222	120	101.402557674032	0.0382707116470442	22.1526	r
S00008Vwa	50100.087224222	120	99.0186372814257	0.688261458723275	21.9951	r
S00003qfa	50100.087224222	120	101.354951488253	0.0487915863217268	23.1856	r
S00005J0a	50100.087224222	120	98.5867151467681	-1.21792508968011	22.8287	r
S0000Izfa	50100.087678222	121	99.4419536209801	4.53565499548699	24.0594	r
S0000iT4a	50100.087678222	121	100.238499014	2.86537541600617	24.0486	r
S000004Aa	50100.087678222	121	98.890723783551	4.88308790908584	20.1811	r
S00008uaa	50100.088126222	122	97.3356515564152	4.59568163452653	22.8591	r
S0000oBga	50100.088126222	122	96.6355333184931	3.13651714903102	23.3443	r
S00004eAa	50100.088126222	122	96.7225246164443	3.36715165415472	23.7259	r
S00002jca	50100.088126222	122	98.3731815688276	4.78031496044235	23.2164	r
S00003p1a	50100.089037221995	124	96.3422244303731	9.75971085382076	23.1984	r
S0000GTsa	50100.089482222	125	95.2255676998516	12.8721180681961	23.6512	r
S0000VsCa	50100.089482222	125	97.2768464828338	12.8108276125209	22.4465	r
S0000uQga	50100.089929222	126	93.0791713472507	12.5902715471639	23.0495	r
S00004wha	50100.089929222	126	93.0778713379252	10.9042245580026	21.6959	r
S00005bJa	50100.090374221996	127	92.7536860130599	15.0024846889094	23.1531	r
S00005WSa	50100.090820221994	128	91.355410157797	16.1381965029945	23.0139	r
S0000vy7a	50100.090820221994	128	89.1937118783824	17.4574437823295	23.5295	r
S00001zya	50100.090820221994	128	89.5657759979373	18.1624518643223	20.945	r
S00000uxa	50100.090820221994	128	90.1786261335681	16.5877429362401	22.51	r
S0000dAaa	50100.090820221994	128	89.7314811049759	15.767184982237	23.5648	r
S00001p5a	50100.091267222	129	86.480668373219	17.6708053543316	21.1277	r
S00002dSa	50100.091267222	129	86.2215543535752	17.8290462743633	22.4402	r
S00001qea	50100.091267222	129	85.8963151519666	15.8155087711266	22.8156	r
S0000o9za	50100.091713222	130	88.8359569603954	14.0078133920789	23.271	r
S00000PXa	50100.091713222	130	88.2101309801807	15.3275481895405	22.8517	r
S0001417a	50100.092159222	131	90.6208831080816	10.3237532808912	22.2933	r
S0000gM1a	50100.092159222	131	90.1617977185439	10.4626347384974	23.5214	r
S0001417a	50100.092604221994	132	90.6209278953428	10.3240733151639	22.2973	r
